lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.08,-34.903018018018024,-83.5594497849909,-76.08424413517474,-49.66030242140944,-76.08424328930684,-86.88714087794702,-85.37393963797663
-8.08,-34.90279279279279,-83.41933812878139,-75.76409290745315,-50.147362974202295,-75.76409204749103,-86.76966970023818,-85.28484255491225
-8.08,-34.90256756756757,-83.27968683053737,-75.43861965484328,-50.627305968958865,-75.43861878062162,-86.65229969331082,-85.197105271825
-8.08,-34.90234234234234,-83.14057506413394,-75.10775206124421,-51.09980030116749,-75.10775117256188,-86.53506662885079,-85.11079025993968
-8.08,-34.902117117117115,-83.00208592403061,-74.77142936606063,-51.56461563577746,-74.77142846280512,-86.41800792127714,-85.0259608002703
-8.08,-34.90189189189189,-82.86430650679895,-74.42960516796771,-52.02160482301845,-74.42960424995638,-86.30116267197536,-84.94268089171982
-8.08,-34.901666666666664,-82.72732798229225,-74.0822507311216,-52.47068899756731,-74.08224979838454,-86.18457171241477,-84.86101515124773
-8.08,-34.90144144144144,-82.59124565253424,-73.72935887583137,-52.91184501227956,-73.72935792836864,-86.06827764573049,-84.7810287059506
-8.08,-34.90121621621621,-82.45615899639833,-73.37094854603777,-53.345094883255385,-73.37094758392124,-85.95232488636887,-84.70278707707521
-8.08,-34.900990990990984,-82.32217169825554,-73.00707015862261,-53.770496954609825,-73.0070691820489,-85.83675969759423,-84.62635605608091
-8.08,-34.90076576576576,-82.18939165825662,-72.63781185091858,-54.18813852546407,-72.63781086015103,-85.72163022628607,-84.55180157281669
-8.08,-34.90054054054054,-82.05793098218774,-72.26330675340576,-54.598129714002766,-72.26330574887541,-85.6069865347126,-84.47918955609566
-8.08,-34.90031531531531,-81.92790594857743,-71.88374142516422,-55.00059836467817,-71.88374040746005,-85.49288062877622,-84.40858578687306
-8.08,-34.90009009009009,-81.79943695069099,-71.49936559378366,-55.395685832064785,-71.4993645636654,-85.37936648230362,-84.34005574451206
-8.08,-34.89986486486486,-81.67264841100393,-71.11050334200971,-55.783543500226045,-71.11050230043956,-85.26650005674796,-84.27366444638619
-8.08,-34.89963963963964,-81.54766866588082,-70.71756587344794,-56.16432991728317,-70.7175648216588,-85.15433931591858,-84.20947628157973
-8.08,-34.89941441441441,-81.42462981795052,-70.32106596493621,-56.538208444639764,-70.32106490444139,-85.04294423504686,-84.14755483910434
-8.08,-34.899189189189194,-81.30366755411177,-69.92163416932101,-56.90534533508132,-69.92163310197357,-84.93237680366929,-84.08796273145063
-8.08,-34.898963963963965,-81.1849209268158,-69.52003675846412,-57.26590816889906,-69.52003568650323,-84.82270102167325,-84.03076141418427
-8.08,-34.898738738738736,-81.06853209689311,-69.11719528640027,-57.62006458759953,-69.11719421249721,-84.71398288793117,-83.97601100250824
