lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.079855072463769,-34.902117117117115,-69.15439403981202,-40.77150565786675,-67.19926941191785,-74.84464894503569,-76.63598395363655,-81.91461748071849
-8.079855072463769,-34.90189189189189,-67.05431061475326,-35.017524296366275,-65.92777363969938,-73.05063812591582,-77.16577656103611,-81.5771784332328
-8.079855072463769,-34.901666666666664,-67.05428085975032,-35.017607231821806,-65.92783172343321,-73.05065061445097,-77.16573211668617,-81.57714602096361
-8.079855072463769,-34.90144144144144,-67.05426868617911,-35.01742964943025,-65.92795854037418,-73.05050778551873,-77.16567021368279,-81.57713578384345
-8.079855072463769,-34.90121621621621,-67.05428042961672,-35.01690965264431,-65.92817303144909,-73.0501620612457,-77.1655870039481,-81.57715557551003
-8.079855072463769,-34.900990990990984,-67.05432365990923,-35.01595195824452,-65.9284965372856,-73.04955840564588,-77.16547843115389,-81.57721472518983
-8.079855072463769,-34.90076576576576,-67.05440692660159,-35.014452469804226,-65.92895137007505,-73.0486371453195,-77.16534067021567,-81.57732367682353
-8.079855072463769,-34.90054054054054,-67.05453909907038,-35.0123082156429,-65.9295580954241,-73.0473399242196,-77.16517085134403,-81.57749310877671
-8.079855072463769,-34.90031531531531,-67.05472815523548,-35.009434163654454,-65.9303312819946,-73.04561962206931,-77.16496807702649,-81.57773236301112
-8.079855072463769,-34.90009009009009,-67.05497938137519,-35.00578673912069,-65.93127395928674,-73.04345404820502,-77.16473460454544,-81.57804716623902
-8.079855072463769,-34.89986486486486,-67.0552932023193,-35.001390380636266,-65.93237189707281,-73.0408611707421,-77.16447685937935,-81.57843696551944
-8.079855072463769,-34.89963963963964,-67.05566323524302,-34.99635886663569,-65.93358982557885,-73.03791099823879,-77.16420575731128,-81.57889266883001
-8.079855072463769,-34.89941441441441,-67.05607545968294,-34.990900150534074,-65.93487213359776,-73.0347276112144,-77.16393583165669,-81.57939591146074
-8.079855072463769,-34.899189189189194,-67.20623965292779,-31.658592147509502,-65.35848637685584,-70.43957188753151,-76.86423186951711,-81.51993764894286
-8.079855072463769,-34.898963963963965,-66.76163222660756,-29.7965426171807,-64.82825281783738,-69.6631834869765,-75.57967367966549,-82.30319696876762
-8.079855072463769,-34.898738738738736,-65.40577902593013,-27.753977689339077,-62.310075250496226,-68.10323653760418,-75.24929859766816,-81.62151471664805
-8.079855072463769,-34.898513513513514,-65.4062135690776,-27.753795743321405,-62.309908219246125,-68.10281418054474,-75.24961341737912,-81.62134170010698
-8.079855072463769,-34.898288288288285,-66.04020569542452,-26.24894725120759,-63.47256038373307,-66.71754603621062,-75.14499161591009,-80.99196635115194
-8.079855072463769,-34.898063063063056,-65.20957019489016,-25.255490514997547,-64.32480660369318,-65.57863517794206,-72.85249547467568,-80.5800318536153
-8.079855072463769,-34.897837837837834,-65.20287582813438,-25.245830839869164,-64.33959156096189,-65.57529345443609,-72.83747912306657,-80.57915667700607
-8.079855072463769,-34.89761261261261,-63.8887209617726,-26.836598378895964,-69.1955927828605,-64.71699540981119,-71.32224883957254,-78.68225960766871
-8.079855072463769,-34.89738738738738,-63.21472377714616,-27.251805085508632,-69.76962356419682,-64.53070024751302,-73.21668678492274,-79.35535172331278
-8.079855072463769,-34.89716216216216,-61.59213602748418,-26.675125548811863,-74.09208081904366,-63.718065450123085,-73.62781341322561,-80.20367067251138
-8.079855072463769,-34.89693693693693,-61.59361148126456,-26.675006402725593,-74.0994927893809,-63.7195565034988,-73.62770670450328,-80.21021490508915
-8.079855072463769,-34.89671171171171,-62.28119637206757,-26.592720771829274,-74.34772236647319,-63.70307095471861,-73.52252315877676,-80.84789238045141
-8.079855072463769,-34.89648648648648,-62.61627201613819,-27.487968122339495,-75.34227599850465,-63.971204554260375,-75.61361638211154,-83.19728654161312
-8.079855072463769,-34.896261261261266,-62.742542231077195,-30.983479051633207,-75.41164044985874,-64.33472530229616,-73.50704215902269,-84.24717550843906
-8.079855072463769,-34.89603603603604,-62.742370163886406,-30.99580089913519,-75.4070144152051,-64.33245416186344,-73.50146683658065,-84.25275885184674
-8.079855072463769,-34.89581081081081,-62.328685552275694,-38.06695671224952,-74.57210484567915,-62.949098732974186,-72.75757122593268,-84.54716022486527
-8.079855072463769,-34.895585585585586,-61.69160798829005,-40.548858530691724,-73.02479162136022,-62.82076901712423,-70.97602431953142,-83.93038834492543
-8.079855072463769,-34.89536036036036,-60.844397092924936,-43.18247160774465,-71.00944303687973,-61.32406835453843,-71.75376764104911,-84.25336370858422
-8.079855072463769,-34.89513513513513,-63.3089670509355,-44.42206070931561,-76.95117493890658,-59.92708400449318,-73.88860033234334,-82.34525513598052
-8.079855072463769,-34.894909909909906,-61.619534100707966,-41.88931723683615,-76.29821676815045,-59.39215799890325,-74.17323627102084,-81.86702098403651
-8.079855072463769,-34.894684684684684,-61.618640828171564,-41.88816622974354,-76.29826818019653,-59.39168286250402,-74.17315239068645,-81.86673451795252
-8.079855072463769,-34.89445945945945,-59.95191984714154,-39.55494186986294,-76.48157423154575,-57.89187188150706,-73.63000377857327,-81.13342808030889
-8.079855072463769,-34.894234234234226,-59.95133708246754,-39.554509918966325,-76.48163299056324,-57.891394010005705,-73.63001626999795,-81.13309933416876
-8.079855072463769,-34.894009009009004,-59.42466929515032,-38.688210578481474,-76.02848868545355,-56.33837313938497,-73.80999171619052,-81.06644186813453
-8.079855072463769,-34.89378378378378,-62.13644504880396,-51.70999029396351,-69.82585068952713,-50.89876062079178,-72.60666951019203,-82.73612182561871
-8.079855072463769,-34.89355855855855,-62.07645765906898,-52.190025115273535,-71.97124477466042,-51.00591958632104,-72.97782702275299,-81.50025432111087
-8.079855072463769,-34.89333333333333,-61.48092097823084,-49.58959159669224,-72.02529782047746,-50.78127738135343,-69.89019377778922,-82.31651305793653
-8.079855072463769,-34.89310810810811,-60.255318929245725,-53.45654950317314,-70.2901188470327,-51.247535597153814,-68.48091104053431,-81.90587591527411
-8.079855072463769,-34.89288288288288,-57.26314786242303,-60.56661871630416,-66.54291856143321,-53.340326352306896,-68.80665737880803,-82.0536406544301
-8.079855072463769,-34.89265765765766,-57.96943457125866,-64.6336899576108,-69.2298520477504,-52.433896201127524,-69.25992165118852,-81.9404960481808
-8.079855072463769,-34.89243243243243,-60.24871579849753,-66.63210775316658,-71.30861427576977,-49.47582461927278,-67.87458258116726,-81.80295146696662
-8.079855072463769,-34.892207207207214,-60.56617890635262,-67.49667273351871,-70.80854091882051,-49.971998776227124,-67.09645580583839,-83.32909515661963
-8.079855072463769,-34.89198198198198,-61.356297768696855,-66.82918512942508,-71.09505584024912,-50.09883361886959,-66.79650645691757,-82.42818114008377
-8.079855072463769,-34.89175675675676,-61.358913659723385,-66.8260233048506,-71.09552268560641,-50.09682183253781,-66.7929806719209,-82.42831415432015
-8.079855072463769,-34.89153153153153,-61.53314887612408,-67.59071658632296,-70.01080510956912,-49.98982286073309,-66.4135216753561,-80.94507427890345
-8.079855072463769,-34.891306306306305,-62.63634499210866,-67.6905197410011,-71.81409912630754,-50.83539534758853,-65.55167047477283,-80.88817917828099
-8.079855072463769,-34.89108108108108,-63.28558368273478,-68.9423897674714,-72.66825906277867,-51.01500916349194,-66.10441960029542,-83.32418851640433
-8.079855072463769,-34.890855855855854,-58.88684930363718,-68.84562173975985,-72.5202126891435,-44.50944106598781,-67.89677971086157,-80.76934294220649
-8.079855072463769,-34.890630630630625,-58.92017492211082,-68.08039651302185,-74.1798731988102,-42.25994454666208,-67.04657408945276,-81.62673353350384
